Hours_Studied,Attendance,Family_Income,Parental_Education_Level,Exam_Score,Family_Income_Score,Distance_Score,Activity_Hours,Weekly_Commute_Hours,Study_Variance,External_Load,Is_Critical,Risk_Score
30,64,Medium,Postgraduate,66,2,2.0,0,15,10,15,False,25.5
23,85,Medium,College,68,2,1.0,12,10,3,22,False,18.5
18,66,Medium,High School,66,2,1.0,12,10,-2,22,False,28.0
24,81,Medium,Postgraduate,69,2,0.5,12,5,4,17,False,18.0
18,60,Medium,Postgraduate,62,2,0.5,12,5,-2,17,False,28.5
27,73,High,College,68,3,2.0,0,15,7,15,False,14.0
22,87,Medium,College,67,2,1.0,0,10,2,10,False,11.5
19,79,Low,High School,65,1,0.5,0,5,-1,5,False,26.0
23,99,Low,College,69,1,0.5,0,5,3,5,False,6.0
11,95,Low,High School,67,1,0.5,0,5,-9,5,False,10.0
13,74,Medium,Postgraduate,64,2,0.5,12,5,-7,17,False,21.5
13,62,High,Postgraduate,62,3,0.5,12,5,-7,17,False,18.333333333333332
21,94,High,High School,71,3,0.5,12,5,1,17,False,7.666666666666667
30,96,Medium,High School,72,2,0.5,12,5,10,17,False,10.5
33,93,Medium,High School,74,2,0.5,12,5,13,17,False,12.0
24,65,Medium,Postgraduate,66,2,0.5,0,5,4,5,False,20.0
23,100,Medium,High School,72,2,0.5,12,5,3,17,False,8.5
9,70,High,Postgraduate,65,3,0.5,0,5,-11,5,False,11.666666666666666
17,89,Low,College,67,1,2.0,12,15,-3,27,True,38.0
15,96,Medium,High School,70,2,0.5,12,5,-5,17,False,10.5
16,69,Low,High School,62,1,1.0,12,10,-4,22,False,53.0
19,96,Low,High School,66,1,2.0,12,15,-1,27,True,31.0
17,72,High,College,65,3,0.5,12,5,-3,17,False,15.0
8,99,Medium,Postgraduate,70,2,0.5,12,5,-12,17,False,9.0
24,71,Medium,College,69,2,0.5,12,5,4,17,False,23.0
14,98,High,High School,70,3,0.5,12,5,-6,17,False,6.333333333333333
21,62,High,College,66,3,0.5,0,5,1,5,False,14.333333333333334
32,88,Low,Postgraduate,73,1,0.5,12,5,12,17,False,29.0
14,81,Medium,Postgraduate,69,2,1.0,0,10,-6,10,False,14.5
5,79,Medium,College,66,2,0.5,12,5,-15,17,False,19.0
18,69,Medium,High School,65,2,2.0,12,15,-2,27,True,29.0
27,88,Low,Postgraduate,70,1,0.5,0,5,7,5,False,17.0
32,68,Medium,Postgraduate,70,2,2.0,0,15,12,15,False,23.5
13,82,Low,Postgraduate,67,1,0.5,0,5,-7,5,False,23.0
23,70,Low,Postgraduate,68,1,0.5,12,5,3,17,False,47.0
17,98,Medium,College,68,2,0.5,12,5,-3,17,False,9.5
19,61,Low,College,61,1,2.0,0,15,-1,15,False,54.0
36,68,Medium,High School,70,2,0.5,12,5,16,17,False,24.5
11,70,Low,College,65,1,1.0,0,10,-9,10,False,40.0
22,77,High,High School,66,3,1.0,12,10,2,22,False,15.0
23,69,High,Postgraduate,67,3,1.0,12,10,3,22,False,17.666666666666668
27,80,High,High School,69,3,0.5,12,5,7,17,False,12.333333333333334
21,95,Low,College,69,1,2.0,0,15,1,15,False,20.0
22,88,Low,High School,67,1,1.0,12,10,2,22,False,34.0
18,83,Medium,High School,66,2,0.5,0,5,-2,5,False,11.0
22,64,High,High School,63,3,0.5,12,5,2,17,False,17.666666666666668
18,88,Medium,High School,67,2,2.0,0,15,-2,15,False,13.5
24,67,Low,College,64,1,2.0,12,15,4,27,True,60.0
18,91,Low,High School,68,1,0.5,0,5,-2,5,False,14.0
20,77,Medium,High School,65,2,0.5,0,5,0,5,False,14.0
27,74,Low,High School,65,1,0.5,12,5,7,17,False,43.0
20,94,Medium,College,70,2,0.5,12,5,0,17,False,11.5
9,65,High,High School,62,3,0.5,12,5,-11,17,False,17.333333333333332
28,83,Low,High School,68,1,1.0,0,10,8,10,False,27.0
15,66,High,College,62,3,0.5,12,5,-5,17,False,17.0
16,88,Medium,College,68,2,0.5,12,5,-4,17,False,14.5
16,96,Medium,College,72,2,0.5,12,5,-4,17,False,10.5
28,77,High,Postgraduate,70,3,0.5,12,5,8,17,False,13.333333333333334
7,80,Medium,High School,62,2,2.0,0,15,-13,15,False,17.5
39,97,Low,High School,79,1,1.0,12,10,19,22,False,25.0
26,81,High,Postgraduate,73,3,0.5,12,5,6,17,False,12.0
21,80,Low,College,68,1,2.0,12,15,1,27,True,47.0
20,83,High,High School,68,3,0.5,12,5,0,17,False,11.333333333333334
22,88,Low,High School,69,1,1.0,12,10,2,22,False,34.0
23,64,Low,College,63,1,2.0,12,15,3,27,True,63.0
24,93,High,Postgraduate,74,3,0.5,12,5,4,17,False,8.0
23,77,High,College,69,3,1.0,12,10,3,22,False,15.0
21,63,Low,High School,61,1,0.5,0,5,1,5,False,42.0
19,91,Medium,Postgraduate,69,2,0.5,12,5,-1,17,False,13.0
19,75,Low,High School,64,1,0.5,0,5,-1,5,False,30.0
19,64,Low,Postgraduate,63,1,2.0,12,15,-1,27,True,63.0
27,85,Low,College,68,1,0.5,0,5,7,5,False,20.0
24,95,Low,High School,72,1,2.0,12,15,4,27,True,32.0
24,98,Low,College,69,1,0.5,0,5,4,5,False,7.0
21,95,Medium,High School,70,2,0.5,0,5,1,5,False,5.0
20,60,Medium,Postgraduate,63,2,1.0,12,10,0,22,False,31.0
18,75,Medium,High School,62,2,0.5,12,5,-2,17,False,21.0
27,93,Low,Postgraduate,72,1,0.5,12,5,7,17,False,24.0
26,75,Low,High School,69,1,2.0,0,15,6,15,False,40.0
15,84,Medium,High School,66,2,1.0,0,10,-5,10,False,13.0
22,84,Low,Postgraduate,71,1,0.5,12,5,2,17,False,33.0
14,75,Low,College,62,1,1.0,0,10,-6,10,False,35.0
12,96,Medium,High School,68,2,0.5,12,5,-8,17,False,10.5
16,80,Medium,High School,63,2,0.5,0,5,-4,5,False,12.5
25,79,Low,College,66,1,2.0,12,15,5,27,True,48.0
26,100,Medium,College,75,2,1.0,12,10,6,22,False,11.0
23,80,High,College,69,3,0.5,12,5,3,17,False,12.333333333333334
24,67,High,High School,68,3,0.5,0,5,4,5,False,12.666666666666666
23,81,Medium,High School,69,2,1.0,0,10,3,10,False,14.5
16,93,Low,High School,67,1,0.5,0,5,-4,5,False,12.0
23,91,Medium,Postgraduate,73,2,0.5,12,5,3,17,False,13.0
25,92,Low,College,71,1,0.5,12,5,5,17,False,25.0
25,88,High,High School,71,3,1.0,12,10,5,22,False,11.333333333333334
27,70,Low,High School,68,1,0.5,0,5,7,5,False,35.0
24,94,High,High School,70,3,0.5,0,5,4,5,False,3.6666666666666665
22,96,High,High School,71,3,0.5,12,5,2,17,False,7.0
26,68,Medium,High School,69,2,0.5,0,5,6,5,False,18.5
20,65,Low,High School,63,1,0.5,0,5,0,5,False,40.0
15,99,Medium,Postgraduate,71,2,0.5,12,5,-5,17,False,9.0
19,95,Low,College,69,1,0.5,12,5,-1,17,False,22.0
16,96,High,Postgraduate,71,3,1.0,12,10,-4,22,False,8.666666666666666
16,95,Low,High School,68,1,0.5,0,5,-4,5,False,10.0
19,82,Medium,High School,68,2,0.5,0,5,-1,5,False,11.5
15,86,Medium,Postgraduate,66,2,2.0,0,15,-5,15,False,14.5
18,82,Low,College,67,1,1.0,0,10,-2,10,False,28.0
9,62,Medium,College,59,2,1.0,12,10,-11,22,False,30.0
21,90,Low,College,66,1,0.5,0,5,1,5,False,15.0
20,80,Medium,High School,64,2,0.5,0,5,0,5,False,12.5
15,86,Low,High School,64,1,1.0,0,10,-5,10,False,24.0
24,80,Low,High School,69,1,1.0,12,10,4,22,False,42.0
26,80,Medium,High School,69,2,0.5,0,5,6,5,False,12.5
10,67,Medium,High School,61,2,0.5,0,5,-10,5,False,19.0
15,71,Low,High School,62,1,2.0,0,15,-5,15,False,44.0
15,66,Medium,College,61,2,0.5,0,5,-5,5,False,19.5
14,68,Medium,College,63,2,0.5,12,5,-6,17,False,24.5
25,99,Low,College,71,1,0.5,0,5,5,5,False,6.0
19,66,Medium,Postgraduate,65,2,1.0,12,10,-1,22,False,28.0
18,71,Low,College,68,1,1.0,12,10,-2,22,False,51.0
8,84,High,High School,67,3,1.0,0,10,-12,10,False,8.666666666666666
24,84,Low,High School,70,1,0.5,12,5,4,17,False,33.0
13,66,Medium,High School,64,2,0.5,12,5,-7,17,False,25.5
20,92,Medium,College,71,2,0.5,0,5,0,5,False,6.5
22,91,Medium,College,71,2,1.0,12,10,2,22,False,15.5
28,69,High,High School,67,3,1.0,0,10,8,10,False,13.666666666666666
12,72,High,Postgraduate,63,3,2.0,12,15,-8,27,True,18.333333333333332
2,98,Low,High School,66,1,0.5,12,5,-18,17,False,19.0
21,93,High,High School,70,3,1.0,12,10,1,22,False,9.666666666666666
31,88,Low,High School,70,1,0.5,0,5,11,5,False,17.0
27,63,Low,High School,67,1,0.5,12,5,7,17,False,54.0
21,77,Medium,Postgraduate,69,2,0.5,0,5,1,5,False,14.0
17,82,High,High School,66,3,0.5,0,5,-3,5,False,7.666666666666667
25,67,Medium,Postgraduate,67,2,2.0,0,15,5,15,False,24.0
14,78,High,College,65,3,0.5,12,5,-6,17,False,13.0
23,84,High,Postgraduate,72,3,2.0,12,15,3,27,True,14.333333333333334
23,73,Medium,College,68,2,0.5,0,5,3,5,False,16.0
26,91,Medium,College,72,2,0.5,12,5,6,17,False,13.0
37,94,Low,Postgraduate,76,1,0.5,12,5,17,17,False,23.0
22,73,Low,College,65,1,0.5,12,5,2,17,False,44.0
17,94,Medium,High School,68,2,0.5,0,5,-3,5,False,5.5
20,64,Low,College,65,1,0.5,12,5,0,17,False,53.0
9,94,Low,High School,66,1,0.5,12,5,-11,17,False,23.0
16,66,Low,High School,63,1,2.0,0,15,-4,15,False,49.0
18,63,High,Postgraduate,63,3,1.0,0,10,-2,10,False,15.666666666666666
17,86,Low,Postgraduate,66,1,1.0,12,10,-3,22,False,36.0
21,79,Low,High School,69,1,0.5,12,5,1,17,False,38.0
15,96,Medium,Postgraduate,72,2,0.5,12,5,-5,17,False,10.5
27,75,High,High School,66,3,0.5,12,5,7,17,False,14.0
20,71,Medium,High School,64,2,1.0,12,10,0,22,False,25.5
18,78,Low,High School,67,1,0.5,12,5,-2,17,False,39.0
21,74,Medium,College,66,2,0.5,12,5,1,17,False,21.5
25,88,Low,High School,68,1,0.5,12,5,5,17,False,29.0
15,90,Medium,High School,65,2,1.0,0,10,-5,10,False,10.0
16,94,Low,High School,71,1,0.5,12,5,-4,17,False,23.0
18,99,Medium,Postgraduate,71,2,0.5,12,5,-2,17,False,9.0
12,71,Medium,High School,62,2,1.0,12,10,-8,22,False,25.5
15,89,Medium,College,69,2,0.5,12,5,-5,17,False,14.0
17,76,High,High School,65,3,0.5,0,5,-3,5,False,9.666666666666666
25,87,Medium,Postgraduate,70,2,0.5,0,5,5,5,False,9.0
21,100,High,High School,70,3,2.0,0,15,1,15,False,5.0
25,89,Medium,Postgraduate,70,2,1.0,0,10,5,10,False,10.5
19,98,Low,High School,69,1,1.0,12,10,-1,22,False,24.0
22,93,Medium,High School,71,2,0.5,12,5,2,17,False,12.0
19,96,Medium,High School,69,2,0.5,0,5,-1,5,False,4.5
22,93,Medium,Postgraduate,73,2,0.5,0,5,2,5,False,6.0
17,78,Medium,High School,65,2,1.0,12,10,-3,22,False,22.0
5,70,Low,High School,62,1,0.5,12,5,-15,17,False,47.0
19,75,High,Postgraduate,67,3,1.0,0,10,-1,10,False,11.666666666666666
29,61,Medium,Postgraduate,65,2,1.0,12,10,9,22,False,30.5
26,81,Medium,High School,65,2,2.0,0,15,6,15,False,17.0
26,80,Medium,College,70,2,0.5,12,5,6,17,False,18.5
27,81,Medium,College,70,2,0.5,12,5,7,17,False,18.0
21,99,Medium,Postgraduate,71,2,0.5,12,5,1,17,False,9.0
21,96,Low,College,71,1,0.5,0,5,1,5,False,9.0
16,66,Medium,High School,62,2,1.0,12,10,-4,22,False,28.0
18,75,Low,Postgraduate,65,1,0.5,0,5,-2,5,False,30.0
24,77,Medium,College,84,2,2.0,12,15,4,27,True,25.0
27,74,Medium,College,68,2,2.0,12,15,7,27,True,26.5
19,92,High,High School,70,3,0.5,12,5,-1,17,False,8.333333333333334
17,81,Medium,Postgraduate,68,2,0.5,0,5,-3,5,False,12.0
20,83,Low,Postgraduate,67,1,0.5,0,5,0,5,False,22.0
24,94,Low,High School,69,1,0.5,12,5,4,17,False,23.0
11,92,Low,High School,68,1,0.5,12,5,-9,17,False,25.0
6,65,Low,High School,59,1,0.5,0,5,-14,5,False,40.0
17,89,Medium,College,67,2,0.5,12,5,-3,17,False,14.0
13,77,High,High School,63,3,1.0,12,10,-7,22,False,15.0
17,72,Medium,High School,65,2,0.5,12,5,-3,17,False,22.5
19,62,Low,College,63,1,0.5,0,5,-1,5,False,43.0
17,79,Low,High School,64,1,0.5,0,5,-3,5,False,26.0
29,74,Low,College,72,1,2.0,12,15,9,27,True,53.0
22,70,Low,College,63,1,1.0,12,10,2,22,False,52.0
22,88,Medium,High School,66,2,0.5,0,5,2,5,False,8.5
24,91,Medium,College,67,2,1.0,12,10,4,22,False,15.5
13,70,High,Postgraduate,66,3,1.0,12,10,-7,22,False,17.333333333333332
26,62,Medium,College,66,2,1.0,12,10,6,22,False,30.0
20,94,Low,Postgraduate,68,1,0.5,12,5,0,17,False,23.0
24,60,Low,Postgraduate,66,1,1.0,0,10,4,10,False,50.0
14,97,Medium,College,68,2,0.5,12,5,-6,17,False,10.0
11,85,Medium,High School,65,2,2.0,12,15,-9,27,True,21.0
25,73,Medium,College,67,2,0.5,12,5,5,17,False,22.0
22,70,High,High School,64,3,2.0,0,15,2,15,False,15.0
15,60,Low,College,59,1,2.0,0,15,-5,15,False,55.0
15,69,High,High School,60,3,0.5,12,5,-5,17,False,16.0
27,66,High,College,65,3,2.0,0,15,7,15,False,16.333333333333332
13,84,Low,High School,64,1,0.5,12,5,-7,17,False,33.0
30,67,Low,High School,66,1,0.5,0,5,10,5,False,38.0
15,81,Medium,Postgraduate,65,2,0.5,12,5,-5,17,False,18.0
24,84,Medium,High School,69,2,2.0,12,15,4,27,True,21.5
18,72,Medium,High School,66,2,0.5,12,5,-2,17,False,22.5
17,61,Medium,College,62,2,1.0,0,10,-3,10,False,24.5
19,61,Medium,High School,60,2,2.0,0,15,-1,15,False,27.0
20,90,Low,College,68,1,1.0,0,10,0,10,False,20.0
14,73,Medium,High School,64,2,0.5,12,5,-6,17,False,22.0
24,92,Medium,College,73,2,0.5,0,5,4,5,False,6.5
17,77,Low,College,64,1,0.5,12,5,-3,17,False,40.0
14,81,Low,Postgraduate,63,1,0.5,0,5,-6,5,False,24.0
5,89,Medium,College,65,2,0.5,12,5,-15,17,False,14.0
19,71,Medium,High School,65,2,1.0,0,10,-1,10,False,19.5
34,65,Medium,High School,67,2,0.5,12,5,14,17,False,26.0
25,82,Low,High School,67,1,0.5,12,5,5,17,False,35.0
20,73,Medium,High School,66,2,0.5,0,5,0,5,False,16.0
18,78,Low,Postgraduate,68,1,0.5,12,5,-2,17,False,39.0
20,86,Low,High School,65,1,0.5,12,5,0,17,False,31.0
23,80,Low,Postgraduate,66,1,0.5,12,5,3,17,False,37.0
13,85,Low,College,66,1,1.0,12,10,-7,22,False,37.0
27,82,Low,High School,69,1,0.5,12,5,7,17,False,35.0
24,90,Low,Postgraduate,70,1,0.5,0,5,4,5,False,15.0
24,88,Medium,Postgraduate,71,2,1.0,12,10,4,22,False,17.0
23,81,Low,High School,70,1,1.0,0,10,3,10,False,29.0
20,87,Medium,High School,68,2,1.0,0,10,0,10,False,11.5
24,95,Low,Postgraduate,73,1,2.0,12,15,4,27,True,32.0
24,77,Low,High School,68,1,1.0,0,10,4,10,False,33.0
18,77,High,College,66,3,0.5,12,5,-2,17,False,13.333333333333334
17,91,Medium,Postgraduate,67,2,1.0,12,10,-3,22,False,15.5
21,83,Medium,High School,66,2,0.5,12,5,1,17,False,17.0
29,63,Medium,Postgraduate,69,2,0.5,12,5,9,17,False,27.0
13,96,Low,Postgraduate,67,1,0.5,0,5,-7,5,False,9.0
11,61,Medium,High School,61,2,0.5,12,5,-9,17,False,28.0
21,90,Low,College,70,1,0.5,0,5,1,5,False,15.0
20,90,Low,High School,70,1,0.5,0,5,0,5,False,15.0
21,98,Medium,College,70,2,0.5,12,5,1,17,False,9.5
21,62,Low,College,64,1,1.0,0,10,1,10,False,48.0
19,84,Low,College,65,1,2.0,0,15,-1,15,False,31.0
29,77,Low,College,70,1,0.5,0,5,9,5,False,28.0
10,73,Low,College,62,1,1.0,12,10,-10,22,False,49.0
15,64,Medium,College,64,2,0.5,12,5,-5,17,False,26.5
19,83,Medium,College,67,2,2.0,12,15,-1,27,True,22.0
10,79,Low,High School,63,1,0.5,0,5,-10,5,False,26.0
19,64,Medium,High School,62,2,0.5,12,5,-1,17,False,26.5
30,84,High,College,72,3,0.5,0,5,10,5,False,7.0
20,90,Low,College,69,1,0.5,0,5,0,5,False,15.0
21,91,Low,High School,72,1,0.5,12,5,1,17,False,26.0
12,96,Medium,College,68,2,0.5,12,5,-8,17,False,10.5
16,76,Medium,Postgraduate,64,2,0.5,0,5,-4,5,False,14.5
18,98,Low,College,72,1,0.5,12,5,-2,17,False,19.0
18,95,Low,College,73,1,0.5,12,5,-2,17,False,22.0
28,72,Medium,College,67,2,2.0,12,15,8,27,True,27.5
23,66,Low,College,64,1,0.5,12,5,3,17,False,51.0
13,77,High,High School,65,3,0.5,12,5,-7,17,False,13.333333333333334
21,76,Low,High School,67,1,1.0,12,10,1,22,False,46.0
23,83,Medium,College,68,2,1.0,12,10,3,22,False,19.5
29,90,Medium,High School,71,2,1.0,12,10,9,22,False,16.0
14,80,Medium,High School,66,2,0.5,12,5,-6,17,False,18.5
15,64,Low,High School,59,1,0.5,0,5,-5,5,False,41.0
12,94,Medium,High School,68,2,0.5,12,5,-8,17,False,11.5
19,72,Low,High School,64,1,1.0,12,10,-1,22,False,50.0
23,99,High,High School,70,3,0.5,0,5,3,5,False,2.0
26,65,High,High School,65,3,1.0,12,10,6,22,False,19.0
20,98,High,College,72,3,0.5,12,5,0,17,False,6.333333333333333
18,64,High,College,66,3,1.0,0,10,-2,10,False,15.333333333333334
21,69,Medium,College,68,2,0.5,12,5,1,17,False,24.0
15,62,Low,College,62,1,0.5,0,5,-5,5,False,43.0
33,88,Low,High School,70,1,0.5,0,5,13,5,False,17.0
10,94,High,College,70,3,1.0,12,10,-10,22,False,9.333333333333334
21,77,Low,College,64,1,0.5,12,5,1,17,False,40.0
32,97,Low,College,76,1,1.0,12,10,12,22,False,25.0
20,84,Medium,College,67,2,1.0,12,10,0,22,False,19.0
19,85,Low,College,69,1,0.5,0,5,-1,5,False,20.0
18,94,Medium,High School,68,2,2.0,12,15,-2,27,True,16.5
19,72,Medium,Postgraduate,67,2,1.0,12,10,-1,22,False,25.0
28,74,High,High School,69,3,0.5,12,5,8,17,False,14.333333333333334
7,96,Low,High School,67,1,0.5,12,5,-13,17,False,21.0
29,96,Low,High School,73,1,0.5,12,5,9,17,False,21.0
11,99,Medium,College,71,2,0.5,12,5,-9,17,False,9.0
18,96,Low,Postgraduate,70,1,0.5,0,5,-2,5,False,9.0
24,93,Medium,Postgraduate,73,2,1.0,12,10,4,22,False,14.5
10,76,Low,Postgraduate,65,1,0.5,12,5,-10,17,False,41.0
23,100,Low,Postgraduate,73,1,1.0,12,10,3,22,False,22.0
32,79,Low,College,70,1,0.5,12,5,12,17,False,38.0
12,82,Low,College,66,1,0.5,12,5,-8,17,False,35.0
21,81,Medium,High School,66,2,1.0,12,10,1,22,False,20.5
16,73,Low,High School,64,1,1.0,12,10,-4,22,False,49.0
23,63,Medium,Postgraduate,68,2,0.5,12,5,3,17,False,27.0
20,96,High,High School,70,3,0.5,0,5,0,5,False,3.0
16,92,High,High School,72,3,0.5,12,5,-4,17,False,8.333333333333334
23,66,Low,High School,66,1,0.5,0,5,3,5,False,39.0
31,91,Medium,High School,74,2,0.5,12,5,11,17,False,13.0
19,85,Medium,College,67,2,1.0,0,10,-1,10,False,12.5
24,76,Low,Postgraduate,71,1,0.5,12,5,4,17,False,41.0
12,70,Low,High School,60,1,0.5,12,5,-8,17,False,47.0
23,88,Medium,College,69,2,0.5,0,5,3,5,False,8.5
29,82,Medium,College,74,2,0.5,0,5,9,5,False,11.5
22,84,Medium,High School,71,2,0.5,12,5,2,17,False,16.5
18,64,Low,College,63,1,0.5,12,5,-2,17,False,53.0
20,79,Low,College,66,1,1.0,12,10,0,22,False,43.0
12,68,Medium,High School,65,2,0.5,0,5,-8,5,False,18.5
24,68,Low,High School,60,1,2.0,0,15,4,15,False,47.0
25,86,Low,High School,69,1,0.5,12,5,5,17,False,31.0
17,96,Low,College,69,1,0.5,0,5,-3,5,False,9.0
17,76,High,Postgraduate,67,3,1.0,12,10,-3,22,False,15.333333333333334
22,68,Medium,High School,65,2,1.0,12,10,2,22,False,27.0
17,86,Low,College,70,1,0.5,12,5,-3,17,False,31.0
20,95,Low,Postgraduate,71,1,1.0,12,10,0,22,False,27.0
33,90,Medium,Postgraduate,73,2,1.0,12,10,13,22,False,16.0
19,95,Low,Postgraduate,70,1,1.0,12,10,-1,22,False,27.0
18,81,Medium,High School,67,2,0.5,12,5,-2,17,False,18.0
16,90,High,High School,67,3,1.0,12,10,-4,22,False,10.666666666666666
24,66,High,College,65,3,1.0,0,10,4,10,False,14.666666666666666
28,80,Low,College,68,1,2.0,12,15,8,27,True,47.0
29,97,Medium,College,74,2,0.5,0,5,9,5,False,4.0
16,95,Medium,College,68,2,0.5,12,5,-4,17,False,11.0
9,65,Low,College,61,1,0.5,0,5,-11,5,False,40.0
26,67,Low,Postgraduate,67,1,0.5,12,5,6,17,False,50.0
16,74,Low,High School,66,1,0.5,12,5,-4,17,False,43.0
25,72,Medium,High School,69,2,0.5,12,5,5,17,False,22.5
8,85,Low,High School,62,1,0.5,12,5,-12,17,False,32.0
25,96,Low,High School,71,1,1.0,12,10,5,22,False,26.0
13,98,Medium,Postgraduate,71,2,1.0,12,10,-7,22,False,12.0
24,86,Low,College,72,1,0.5,12,5,4,17,False,31.0
20,94,Medium,High School,69,2,2.0,12,15,0,27,True,16.5
14,81,Low,College,67,1,0.5,0,5,-6,5,False,24.0
18,68,Low,High School,63,1,1.0,0,10,-2,10,False,42.0
24,81,Medium,College,68,2,1.0,12,10,4,22,False,20.5
21,82,High,Postgraduate,69,3,0.5,12,5,1,17,False,11.666666666666666
24,90,Low,College,65,1,0.5,12,5,4,17,False,27.0
32,69,Medium,Postgraduate,70,2,0.5,12,5,12,17,False,24.0
11,75,High,College,65,3,1.0,0,10,-9,10,False,11.666666666666666
30,75,Low,High School,67,1,1.0,0,10,10,10,False,35.0
21,98,Low,College,72,1,0.5,12,5,1,17,False,19.0
15,78,High,High School,69,3,0.5,12,5,-5,17,False,13.0
12,90,Medium,Postgraduate,69,2,0.5,12,5,-8,17,False,13.5
19,90,High,College,71,3,0.5,0,5,-1,5,False,5.0
26,71,Medium,High School,67,2,2.0,12,15,6,27,True,28.0
19,83,Low,Postgraduate,65,1,0.5,0,5,-1,5,False,22.0
29,96,Low,High School,70,1,2.0,0,15,9,15,False,19.0
11,79,Medium,College,63,2,1.0,0,10,-9,10,False,15.5
20,98,Medium,College,71,2,2.0,12,15,0,27,True,14.5
12,69,Medium,College,64,2,0.5,12,5,-8,17,False,24.0
22,63,Medium,High School,69,2,0.5,12,5,2,17,False,27.0
25,96,Low,High School,69,1,0.5,0,5,5,5,False,9.0
17,94,Low,Postgraduate,70,1,1.0,12,10,-3,22,False,28.0
4,100,Low,High School,64,1,1.0,0,10,-16,10,False,10.0
21,87,Low,High School,70,1,0.5,0,5,1,5,False,18.0
23,97,Medium,Postgraduate,74,2,1.0,0,10,3,10,False,6.5
22,93,Low,College,69,1,0.5,12,5,2,17,False,24.0
27,94,Low,College,73,1,0.5,12,5,7,17,False,23.0
14,83,Medium,College,66,2,0.5,12,5,-6,17,False,17.0
24,75,Medium,High School,67,2,0.5,12,5,4,17,False,21.0
27,97,Low,College,76,1,0.5,0,5,7,5,False,8.0
9,77,Medium,High School,61,2,0.5,0,5,-11,5,False,14.0
22,82,Medium,High School,68,2,1.0,12,10,2,22,False,20.0
17,78,Low,High School,63,1,1.0,12,10,-3,22,False,44.0
20,83,Low,High School,67,1,0.5,12,5,0,17,False,34.0
22,79,High,High School,66,3,1.0,12,10,2,22,False,14.333333333333334
17,62,Medium,College,62,2,0.5,12,5,-3,17,False,27.5
16,95,Low,High School,69,1,0.5,12,5,-4,17,False,22.0
20,78,Medium,High School,67,2,1.0,0,10,0,10,False,16.0
13,84,Medium,College,66,2,1.0,0,10,-7,10,False,13.0
13,66,Low,High School,63,1,1.0,12,10,-7,22,False,56.0
24,60,High,Postgraduate,64,3,1.0,0,10,4,10,False,16.666666666666668
13,70,Medium,Postgraduate,64,2,1.0,12,10,-7,22,False,26.0
24,88,Low,High School,67,1,0.5,0,5,4,5,False,17.0
23,64,High,High School,66,3,1.0,12,10,3,22,False,19.333333333333332
10,96,Low,High School,68,1,0.5,12,5,-10,17,False,21.0
16,69,Medium,High School,62,2,1.0,12,10,-4,22,False,26.5
27,68,Medium,College,68,2,0.5,12,5,7,17,False,24.5
14,67,Medium,High School,63,2,0.5,0,5,-6,5,False,19.0
17,61,Medium,High School,62,2,1.0,0,10,-3,10,False,24.5
23,91,Low,College,72,1,0.5,0,5,3,5,False,14.0
25,95,Low,High School,69,1,1.0,0,10,5,10,False,15.0
18,85,Medium,High School,67,2,0.5,12,5,-2,17,False,16.0
16,68,High,High School,65,3,1.0,12,10,-4,22,False,18.0
29,71,Low,High School,69,1,0.5,0,5,9,5,False,34.0
30,79,Low,High School,72,1,0.5,12,5,10,17,False,38.0
26,98,Low,High School,70,1,0.5,12,5,6,17,False,19.0
21,70,Medium,College,91,2,1.0,0,10,1,10,False,20.0
15,89,Low,High School,65,1,1.0,12,10,-5,22,False,33.0
15,78,Low,High School,62,1,0.5,12,5,-5,17,False,39.0
23,72,Low,College,65,1,2.0,12,15,3,27,True,55.0
23,78,Medium,College,67,2,1.0,12,10,3,22,False,22.0
28,63,Medium,High School,67,2,2.0,0,15,8,15,False,26.0
24,92,High,High School,72,3,0.5,0,5,4,5,False,4.333333333333333
11,70,Medium,High School,60,2,0.5,12,5,-9,17,False,23.5
26,89,Medium,High School,69,2,0.5,0,5,6,5,False,8.0
14,63,Medium,High School,61,2,0.5,0,5,-6,5,False,21.0
18,98,High,Postgraduate,70,3,0.5,12,5,-2,17,False,6.333333333333333
22,68,High,High School,68,3,0.5,0,5,2,5,False,12.333333333333334
32,95,Medium,High School,75,2,0.5,12,5,12,17,False,11.0
39,92,Medium,Postgraduate,75,2,1.0,0,10,19,10,False,9.0
24,99,High,High School,72,3,2.0,0,15,4,15,False,5.333333333333333
19,79,Low,College,66,1,1.0,12,10,-1,22,False,43.0
23,89,Medium,High School,71,2,0.5,0,5,3,5,False,8.0
25,75,Low,College,70,1,0.5,0,5,5,5,False,30.0
18,67,Medium,High School,63,2,0.5,12,5,-2,17,False,25.0
31,78,Medium,High School,72,2,0.5,12,5,11,17,False,19.5
21,67,Low,High School,65,1,0.5,12,5,1,17,False,50.0
23,99,Low,High School,71,1,0.5,12,5,3,17,False,18.0
24,64,Medium,College,65,2,0.5,12,5,4,17,False,26.5
23,84,Medium,College,69,2,1.0,12,10,3,22,False,19.0
25,85,Medium,High School,71,2,1.0,12,10,5,22,False,18.5
16,82,Low,College,68,1,0.5,12,5,-4,17,False,35.0
17,86,Medium,High School,66,2,0.5,0,5,-3,5,False,9.5
13,65,High,High School,60,3,1.0,0,10,-7,10,False,15.0
23,82,High,High School,68,3,0.5,0,5,3,5,False,7.666666666666667
